ID,Cycliste,Nationality,Points,Racedays,Km,Wins,Top_10,Weight,Height,Age,UCI_rank,All_time_rank,Team,TDF_starts,Giro_starts,Vuelta_starts,Roubaix_starts,MSR_starts,LBL_starts,Ronde_starts,Lombardia_starts,GC_wins,Oneday_Race_wins,ITT_wins,Gt_Participation,Classic_Participation,GT_Classic_Participation,Carreer_Major_Wins,Points_per_Km,Points_per_days,days_between_wins,top10_percent
0,Vincenzo Nibali,italy,764,53,9048,0,15,65.0,1.81,36,25,36,trek-segafredo,8,9,6,0,12,14,1,13,13,13,4,23,40,63,26,0.08443854995579134,14.415094339622641,inf,0.2830188679245283
1,Bauke Mollema,netherlands,321,28,4535,0,12,64.0,1.83,34,102,231,trek-segafredo,10,3,4,0,1,7,0,12,2,5,1,17,20,37,7,0.07078280044101433,11.464285714285715,inf,0.42857142857142855
2,Richie Porte,australia,1133,54,8974,2,18,62.0,1.72,35,7,137,trek-segafredo,10,3,2,0,0,4,0,2,9,0,8,15,6,21,9,0.12625362157343434,20.98148148148148,27.0,0.3333333333333333
3,Jasper Stuyven,belgium,603,57,9624,1,13,78.0,1.86,28,55,710,trek-segafredo,4,1,2,6,3,0,7,1,1,4,0,7,17,24,5,0.06265586034912718,10.578947368421053,57.0,0.2280701754385965
4,Pieter Weening,netherlands,25,23,3396,0,0,68.0,1.86,39,1227,736,trek-segafredo,6,6,4,0,0,10,3,9,2,1,0,16,22,38,3,0.007361601884570083,1.0869565217391304,inf,0.0
5,Mads Pedersen,denmark,769,58,9317,3,12,70.0,1.79,25,31,649,trek-segafredo,1,2,0,3,0,1,3,0,2,6,2,3,7,10,8,0.08253729741333048,13.258620689655173,19.33333333333333,0.20689655172413796
6,Gianluca Brambilla,italy,159,38,6304,0,4,57.0,1.7,33,206,1822,trek-segafredo,1,8,5,0,5,3,0,10,0,2,0,14,18,32,2,0.02522208121827411,4.1842105263157885,inf,0.10526315789473684
7,Edward Theuns,belgium,92,53,8995,0,5,72.0,1.83,29,509,1200,trek-segafredo,3,0,2,5,2,1,7,0,0,3,0,5,15,20,3,0.010227904391328516,1.7358490566037736,inf,0.09433962264150944
8,Koen de Kort,netherlands,38,49,7803,0,0,69.0,1.79,38,NC,NC,trek-segafredo,8,2,7,13,9,2,14,3,0,1,0,17,41,58,1,0.004869921824939126,0.7755102040816326,inf,0.0
9,Toms Skujiņš,latvia,137,41,6935,0,1,70.0,1.78,29,416,1934,trek-segafredo,3,0,1,0,2,5,2,2,0,3,1,4,11,15,3,0.019754866618601298,3.3414634146341466,inf,0.024390243902439025
10,Giulio Ciccone,italy,318,28,4983,1,4,58.0,1.76,26,70,1764,trek-segafredo,1,5,0,0,2,1,0,4,0,2,0,6,7,13,2,0.0638169777242625,11.357142857142858,28.0,0.14285714285714285
11,Kenny Elissonde,france,210,58,9560,0,4,52.0,1.69,29,251,NC,trek-segafredo,1,3,5,0,0,1,0,3,0,0,0,9,4,13,0,0.021966527196652718,3.6206896551724137,inf,0.06896551724137931
12,Alexander Kamp,denmark,15,34,4909,0,1,,,27,NC,NC,trek-segafredo,0,0,1,0,0,1,0,0,0,1,0,1,1,2,1,0.003055612140965573,0.4411764705882353,inf,0.029411764705882356
13,Kiel Reijnen,united-states,14,28,3938,0,1,63.0,1.8,34,1806,NC,trek-segafredo,0,0,3,0,4,1,4,2,0,1,0,3,11,14,1,0.003555104113763332,0.5,inf,0.03571428571428571
14,Quinn Simmons,united-states,193,34,5194,0,5,72.0,1.82,19,155,NC,trek-segafredo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03715825953022719,5.6764705882352935,inf,0.14705882352941174
15,Emīls Liepiņš,latvia,85,54,8265,0,6,67.0,1.75,28,447,NC,trek-segafredo,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0.0102843315184513,1.5740740740740742,inf,0.1111111111111111
16,Jacopo Mosca,italy,233,51,8358,0,9,,,27,130,NC,trek-segafredo,0,2,1,0,3,0,0,1,1,0,0,3,4,7,1,0.027877482651352002,4.568627450980392,inf,0.17647058823529413
17,Alex Kirsch,luxembourg,78,48,7491,0,4,75.0,1.94,28,273,NC,trek-segafredo,0,0,1,2,0,2,3,0,0,0,0,1,7,8,0,0.010412494993992792,1.625,inf,0.08333333333333333
18,Ryan Mullen,ireland,23,50,7011,0,2,77.0,1.89,26,1232,NC,trek-segafredo,0,1,0,4,1,0,3,0,0,2,5,1,8,9,2,0.0032805591213806874,0.46,inf,0.04
19,Niklas Eg,denmark,111,62,10229,0,0,,,25,459,NC,trek-segafredo,1,1,2,0,0,0,0,2,0,0,0,4,2,6,0,0.010851500635448236,1.7903225806451613,inf,0.0
20,Nicola Conci,italy,134,48,8127,0,5,,,23,223,NC,trek-segafredo,0,2,1,0,1,1,0,2,0,0,0,3,4,7,0,0.01648824904638858,2.7916666666666665,inf,0.10416666666666667
21,Will Clarke,australia,8,20,3263,0,0,81.0,1.92,35,NC,NC,trek-segafredo,0,1,1,2,1,1,1,0,0,0,4,2,5,7,0,0.002451731535396874,0.4,inf,0.0
22,Matteo Moschetti,italy,182,33,4533,2,5,,,24,159,NC,trek-segafredo,0,1,1,0,0,0,0,0,0,2,0,2,0,2,2,0.04015001103022281,5.5151515151515165,16.5,0.15151515151515152
23,Julien Bernard,france,45,51,8169,1,1,60.0,1.76,28,803,NC,trek-segafredo,2,2,2,0,0,2,0,2,0,0,0,6,4,10,0,0.005508630187293426,0.8823529411764706,51.0,0.0196078431372549
24,Mattias Skjelmose Jensen,denmark,0,14,2140,0,0,,,20,1962,NC,trek-segafredo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,inf,0.0
25,Michel Ries,luxembourg,45,58,8970,0,3,67.0,1.84,22,738,NC,trek-segafredo,0,0,1,0,0,1,0,0,0,0,0,1,1,2,0,0.005016722408026756,0.7758620689655172,inf,0.05172413793103448
26,Alessandro Fancellu,italy,55,20,2720,0,2,62.0,1.72,20,524,NC,trek-segafredo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02022058823529412,2.75,inf,0.1
27,Antonio Nibali,italy,25,42,6637,0,0,65.0,1.8,28,1106,NC,trek-segafredo,0,3,1,0,0,1,0,3,0,0,0,4,4,8,0,0.003766762091306313,0.5952380952380952,inf,0.0
28,Charlie Quarterman,great-britain,8,37,5200,0,1,,,22,NC,NC,trek-segafredo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015384615384615385,0.21621621621621626,inf,0.027027027027027032
29,Juan Pedro López,spain,38,46,7330,0,0,60.0,1.7,23,983,NC,trek-segafredo,0,0,1,0,0,1,0,0,0,0,0,1,1,2,0,0.005184174624829468,0.8260869565217391,inf,0.0
30,Antonio Tiberi,italy,16,18,2633,0,5,62.0,1.82,19,766,NC,trek-segafredo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006076718571971136,0.8888888888888888,inf,0.2777777777777778
31,Amaury Capiot,belgium,347,46,7363,0,16,69.0,1.87,27,79,NC,sport-vlaanderen-baloise,0,0,0,0,0,0,3,0,0,0,0,0,3,3,0,0.04712752953958984,7.543478260869565,inf,0.3478260869565217
32,Thomas Sprengers,belgium,72,38,6485,0,2,60.0,1.77,30,396,NC,sport-vlaanderen-baloise,0,0,0,0,0,6,3,0,0,0,0,0,9,9,0,0.01110254433307633,1.8947368421052633,inf,0.05263157894736842
33,Kevin Deltombe,belgium,12,37,5994,0,0,66.0,1.78,26,2056,NC,sport-vlaanderen-baloise,0,0,0,0,0,4,0,0,0,0,0,0,4,4,0,0.002002002002002002,0.32432432432432434,inf,0.0
34,Jordi Warlop,belgium,45,25,3702,0,5,73.0,1.83,24,650,NC,sport-vlaanderen-baloise,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0.012155591572123177,1.8,inf,0.2
35,Edward Planckaert,belgium,106,27,4100,0,6,67.0,1.75,25,237,NC,sport-vlaanderen-baloise,0,0,0,1,0,0,3,0,0,0,0,0,4,4,0,0.02585365853658536,3.9259259259259265,inf,0.2222222222222222
36,Milan Menten,belgium,31,20,3400,0,2,68.0,1.74,24,925,NC,sport-vlaanderen-baloise,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0.009117647058823529,1.55,inf,0.1
37,Kenneth Van Rooy,belgium,102,28,4079,0,5,70.0,1.78,27,371,NC,sport-vlaanderen-baloise,0,0,0,0,0,1,2,0,0,0,0,0,3,3,0,0.0250061289531748,3.6428571428571432,inf,0.17857142857142858
